,CCAA,Año,Total
409,La Rioja,2020,319914
410,La Rioja,2019,316798
411,La Rioja,2018,315675
412,La Rioja,2017,315381
413,La Rioja,2016,315794
414,La Rioja,2015,317053
415,La Rioja,2014,319002
416,La Rioja,2013,322027
417,La Rioja,2012,323609
418,La Rioja,2011,322955
419,La Rioja,2010,322415
420,La Rioja,2009,321702
421,La Rioja,2008,317501
422,La Rioja,2007,308968
423,La Rioja,2006,306377
424,La Rioja,2005,301084
425,La Rioja,2004,293553
426,La Rioja,2003,287390
427,La Rioja,2002,281614
428,La Rioja,2001,270400
429,La Rioja,2000,264178
430,La Rioja,1999,265178
431,La Rioja,1998,263644
432,Ceuta,2021,83517
433,Ceuta,2020,84202
434,Ceuta,2019,84777
435,Ceuta,2018,85144
436,Ceuta,2017,84959
437,Ceuta,2016,84519
438,Ceuta,2015,84263
439,Ceuta,2014,84963
440,Ceuta,2013,84180
441,Ceuta,2012,84018
442,Ceuta,2011,82376
443,Ceuta,2010,80579
444,Ceuta,2009,78674
445,Ceuta,2008,77389
446,Ceuta,2007,76603
447,Ceuta,2006,75861
448,Ceuta,2005,75276
449,Ceuta,2004,74654
450,Ceuta,2003,74931
451,Ceuta,2002,76152
452,Ceuta,2001,75694
453,Ceuta,2000,75241
454,Ceuta,1999,73704
455,Ceuta,1998,72117
456,Melilla,2021,86261
457,Melilla,2020,87076
458,Melilla,2019,86487
459,Melilla,2018,86384
460,Melilla,2017,86120
461,Melilla,2016,86026
462,Melilla,2015,85584
463,Melilla,2014,84509
464,Melilla,2013,83679
465,Melilla,2012,80802
466,Melilla,2011,78476
467,Melilla,2010,76034
468,Melilla,2009,73460
469,Melilla,2008,71448
470,Melilla,2007,69440
471,Melilla,2006,66871
472,Melilla,2005,65488
473,Melilla,2004,68016
474,Melilla,2003,68463
475,Melilla,2002,69184
476,Melilla,2001,68789
477,Melilla,2000,66263
478,Melilla,1999,56929
479,Melilla,1998,60108
